[2025-08-20 15:45:04] ✅ Loaded 40 deals from CSV.
[2025-08-20 15:45:06] ✅ Selected deal: 12114
[2025-08-20 15:45:10] 📎 Added file from Deal 12114: TA_TA_Pokerstars.xlsx
[2025-08-20 15:45:13] 📄 Processing TA_TA_Pokerstars.xlsx in Checking Mode...
[2025-08-20 15:45:13] 🧾 Detected TA file — using deposit/cashout logic.
[2025-08-20 15:45:13] Detected single combined transaction sheet. Attempting auto-detection...
[2025-08-20 15:45:13] 📋 Raw headers: ['Transaction ID', 'TXN Type', 'Created', 'Started', 'TXN Curency', 'TXN Amount', 'Status', 'Pay Type', 'Country']
[2025-08-20 15:45:13] 🔍 Normalized headers: ['transactionid', 'txntype', 'created', 'started', 'txncurency', 'txnamount', 'status', 'paytype', 'country']
[2025-08-20 15:45:13] ⚠️ Row 165: Unparsable date/time → '12/Feb/2016 16:23:19'
[2025-08-20 15:45:13] ⚠️ Row 166: Unparsable date/time → '17/Feb/2016 14:08:03'
[2025-08-20 15:45:13] ⚠️ Row 167: Unparsable date/time → '18/Feb/2016 11:23:34'
[2025-08-20 15:45:13] ⚠️ Row 168: Unparsable date/time → '19/Feb/2016 10:26:04'
[2025-08-20 15:45:13] ⚠️ Row 169: Unparsable date/time → '12/Mar/2016 12:42:20'
[2025-08-20 15:45:13] ⚠️ Row 170: Unparsable date/time → '16/Mar/2016 20:47:01'
[2025-08-20 15:45:13] ⚠️ Row 171: Unparsable date/time → '23/Mar/2016 20:50:41'
[2025-08-20 15:45:13] ⚠️ Row 172: Unparsable date/time → '24/Mar/2016 19:31:21'
[2025-08-20 15:45:13] ⚠️ Row 173: Unparsable date/time → '31/Mar/2016 16:42:38'
[2025-08-20 15:45:13] ⚠️ Row 174: Unparsable date/time → '03/Apr/2016 18:32:26'
[2025-08-20 15:45:13] ⚠️ Row 175: Unparsable date/time → '26/May/2016 18:58:29'
[2025-08-20 15:45:13] ⚠️ Row 176: Unparsable date/time → '26/May/2016 19:44:32'
[2025-08-20 15:45:13] ⚠️ Row 177: Unparsable date/time → '26/May/2016 20:53:06'
[2025-08-20 15:45:13] ⚠️ Row 178: Unparsable date/time → '27/May/2016 16:10:35'
[2025-08-20 15:45:13] ⚠️ Row 179: Unparsable date/time → '28/May/2016 06:06:01'
[2025-08-20 15:45:13] ⚠️ Row 180: Unparsable date/time → '01/Jun/2016 17:59:41'
[2025-08-20 15:45:13] ⚠️ Row 181: Unparsable date/time → '01/Jun/2016 18:12:08'
[2025-08-20 15:45:13] ⚠️ Row 182: Unparsable date/time → '16/Jun/2016 17:55:10'
[2025-08-20 15:45:13] ⚠️ Row 183: Unparsable date/time → '16/Jun/2016 19:54:45'
[2025-08-20 15:45:13] ⚠️ Row 184: Unparsable date/time → '18/Jun/2016 16:23:07'
[2025-08-20 15:45:13] ⚠️ Row 185: Unparsable date/time → '22/Jun/2016 12:47:51'
[2025-08-20 15:45:13] ⚠️ Row 186: Unparsable date/time → '22/Jun/2016 13:29:45'
[2025-08-20 15:45:13] ⚠️ Row 187: Unparsable date/time → '23/Jun/2016 16:02:59'
[2025-08-20 15:45:13] ⚠️ Row 188: Unparsable date/time → '24/Jun/2016 15:30:19'
[2025-08-20 15:45:13] ⚠️ Row 189: Unparsable date/time → '25/Jun/2016 05:34:02'
[2025-08-20 15:45:13] ⚠️ Row 190: Unparsable date/time → '25/Jun/2016 06:39:30'
[2025-08-20 15:45:13] ⚠️ Row 191: Unparsable date/time → '25/Jun/2016 14:04:55'
[2025-08-20 15:45:13] ⚠️ Row 192: Unparsable date/time → '25/Jun/2016 14:07:24'
[2025-08-20 15:45:14] ⚠️ Row 193: Unparsable date/time → '29/Jun/2016 16:06:45'
[2025-08-20 15:45:14] ⚠️ Row 194: Unparsable date/time → '29/Jun/2016 16:23:14'
[2025-08-20 15:45:14] ⚠️ Row 195: Unparsable date/time → '30/Jun/2016 18:05:45'
[2025-08-20 15:45:14] ⚠️ Row 196: Unparsable date/time → '01/Jul/2016 17:40:30'
[2025-08-20 15:45:14] ⚠️ Row 197: Unparsable date/time → '01/Jul/2016 18:08:25'
[2025-08-20 15:45:14] ⚠️ Row 198: Unparsable date/time → '07/Jul/2016 03:46:44'
[2025-08-20 15:45:14] ⚠️ Row 199: Unparsable date/time → '07/Jul/2016 04:28:57'
[2025-08-20 15:45:14] ⚠️ Row 200: Unparsable date/time → '08/Jul/2016 15:35:46'
[2025-08-20 15:45:14] ⚠️ Row 201: Unparsable date/time → '10/Jul/2016 09:57:45'
[2025-08-20 15:45:14] ⚠️ Row 202: Unparsable date/time → '22/Jul/2016 17:31:08'
[2025-08-20 15:45:14] ⚠️ Row 203: Unparsable date/time → '22/Jul/2016 18:02:15'
[2025-08-20 15:45:14] ⚠️ Row 204: Unparsable date/time → '26/Jul/2016 06:59:13'
[2025-08-20 15:45:14] ⚠️ Row 205: Unparsable date/time → '27/Jul/2016 19:03:11'
