[2025-09-03 13:08:17] ➕ Added 1 file(s).
[2025-09-03 13:08:20] 📄 Processing TA_Pokerstars (20).xlsx in calculation Mode...
[2025-09-03 13:08:25] ✔ Deposit sheets: ['Sheet3']
[2025-09-03 13:08:25] ✔ Cashout sheets: ['Sheet3']
[2025-09-03 13:08:25] ℹ️ Same sheet in both lists → will parse once as combined: ['Sheet3']
[2025-09-03 13:08:25] 🔎 row 77: ✅ accept → dt=2018-04-05 amt=10.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:25] 🔎 row 78: ✅ accept → dt=2018-04-05 amt=10.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:25] 🔎 row 79: ✅ accept → dt=2018-04-07 amt=50.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:25] 🔎 row 80: ✅ accept → dt=2018-04-07 amt=35.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:25] 🔎 row 81: ✅ accept → dt=2018-04-07 amt=30.91 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:25] 🔎 row 82: ✅ accept → dt=2018-04-08 amt=50.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:25] 🔎 row 83: ✅ accept → dt=2018-04-08 amt=100.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:25] 🔎 row 84: ✅ accept → dt=2018-05-02 amt=20.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:25] 🔎 row 85: ✅ accept → dt=2018-05-05 amt=23.22 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:25] 🔎 row 86: ✅ accept → dt=2018-05-05 amt=10.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:25] 🔎 row 87: ✅ accept → dt=2018-05-05 amt=18.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:25] 🔎 row 88: ✅ accept → dt=2018-05-06 amt=45.27 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:25] 🔎 row 89: ✅ accept → dt=2018-05-06 amt=50.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:25] 🔎 row 90: ✅ accept → dt=2018-05-06 amt=57.55 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:25] 🔎 row 91: ✅ accept → dt=2018-05-06 amt=30.00 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
[2025-09-03 13:08:25] 🔎 row 92: ✅ accept → dt=2018-05-06 amt=24.75 sign=+1 curr=USD label=Deposit (type/gateway/descr/drcr/sign) status='auto'
