[2025-09-02 15:20:44] ➕ Added 1 file(s).
[2025-09-02 15:20:47] 📄 Processing TA_Pokerstars (18).xlsx in calculation Mode...
[2025-09-02 15:20:50] ✔ Deposit sheets: ['Sheet2']
[2025-09-02 15:20:50] ✔ Cashout sheets: ['Sheet2']
[2025-09-02 15:20:50] ℹ️ Same sheet in both lists → will parse once as combined: ['Sheet2']
[2025-09-02 15:20:50] ✅ Detected header row at Excel row 1: ['Date', 'Type', 'TransId', 'Account Currency', 'Billing Currency', 'Billing Amount', 'GateWay', 'Descriptor', 'Original Trans']
[2025-09-02 15:20:50] 🧭 Columns: amount=5, currency=3, type=1, ref_date=0, conf_date=None, status=None
[2025-09-02 15:20:50] 🔎 Sample Type values (top 10 / first 200 rows): dep×181, red×19
[2025-09-02 15:20:51] r=55 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=10.0; currency=USD; date=2014-12-25 — KEEP
[2025-09-02 15:20:51] r=56 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=15.0; currency=USD; date=2014-12-27 — KEEP
[2025-09-02 15:20:51] r=57 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=42.3; currency=USD; date=2014-12-28 — KEEP
[2025-09-02 15:20:51] r=58 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=58.0; currency=USD; date=2014-12-28 — KEEP
[2025-09-02 15:20:51] r=59 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=100.0; currency=USD; date=2014-12-28 — KEEP
[2025-09-02 15:20:51] r=60 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=40.0; currency=USD; date=2014-12-28 — KEEP
[2025-09-02 15:20:51] r=61 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=20.0; currency=USD; date=2014-12-29 — KEEP
[2025-09-02 15:20:51] r=62 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=10.0; currency=USD; date=2014-12-30 — KEEP
[2025-09-02 15:20:51] r=63 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=25.0; currency=USD; date=2015-01-02 — KEEP
[2025-09-02 15:20:51] r=64 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=10.0; currency=USD; date=2015-01-13 — KEEP
[2025-09-02 15:20:51] r=65 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=25.0; currency=USD; date=2015-01-14 — KEEP
[2025-09-02 15:20:51] r=66 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=50.0; currency=USD; date=2015-01-16 — KEEP
[2025-09-02 15:20:51] r=67 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=30.0; currency=USD; date=2015-01-16 — KEEP
[2025-09-02 15:20:51] r=68 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=25.0; currency=USD; date=2015-01-17 — KEEP
[2025-09-02 15:20:51] r=69 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=30.0; currency=USD; date=2015-01-17 — KEEP
[2025-09-02 15:20:51] r=70 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=35.0; currency=USD; date=2015-01-17 — KEEP
[2025-09-02 15:20:51] r=71 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=40.0; currency=USD; date=2015-01-17 — KEEP
[2025-09-02 15:20:51] r=72 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=10.0; currency=USD; date=2015-01-17 — KEEP
[2025-09-02 15:20:51] r=73 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=20.0; currency=USD; date=2015-01-17 — KEEP
[2025-09-02 15:20:51] r=74 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=20.0; currency=USD; date=2015-01-18 — KEEP
[2025-09-02 15:20:51] r=75 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=25.0; currency=USD; date=2015-01-19 — KEEP
[2025-09-02 15:20:51] r=76 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=40.0; currency=USD; date=2015-01-19 — KEEP
[2025-09-02 15:20:51] r=77 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=10.0; currency=USD; date=2015-01-19 — KEEP
[2025-09-02 15:20:51] r=78 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=25.0; currency=USD; date=2015-01-20 — KEEP
[2025-09-02 15:20:51] r=79 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=25.0; currency=USD; date=2015-01-21 — KEEP
[2025-09-02 15:20:51] r=80 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=25.0; currency=USD; date=2015-01-21 — KEEP
[2025-09-02 15:20:51] r=81 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=25.0; currency=USD; date=2015-01-21 — KEEP
[2025-09-02 15:20:51] r=82 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=100.0; currency=USD; date=2015-01-24 — KEEP
[2025-09-02 15:20:51] r=83 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=46.0; currency=USD; date=2015-01-25 — KEEP
[2025-09-02 15:20:51] r=84 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=30.0; currency=USD; date=2015-01-25 — KEEP
[2025-09-02 15:20:51] r=85 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=49.0; currency=USD; date=2015-01-25 — KEEP
[2025-09-02 15:20:51] r=86 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=25.0; currency=USD; date=2015-01-26 — KEEP
[2025-09-02 15:20:51] r=87 → type_raw='Red' | label=Deposit (defaulted; no _tx_label match for 'red' → default to 'Deposit'); status_raw='' → norm='auto'; amount=750.0; currency=USD; date=2015-01-27 — KEEP
[2025-09-02 15:20:51] r=88 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=853.62; currency=EUR; date=2015-01-27 — KEEP
[2025-09-02 15:20:51] r=89 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=10.0; currency=USD; date=2015-01-27 — KEEP
[2025-09-02 15:20:51] r=90 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=25.0; currency=USD; date=2015-01-30 — KEEP
[2025-09-02 15:20:51] r=91 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=25.0; currency=USD; date=2015-01-30 — KEEP
[2025-09-02 15:20:51] r=92 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=25.0; currency=USD; date=2015-01-30 — KEEP
[2025-09-02 15:20:51] r=93 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=25.0; currency=USD; date=2015-01-30 — KEEP
[2025-09-02 15:20:51] r=94 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=25.0; currency=USD; date=2015-01-30 — KEEP
[2025-09-02 15:20:51] r=95 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=25.0; currency=USD; date=2015-01-30 — KEEP
[2025-09-02 15:20:51] r=96 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=25.0; currency=USD; date=2015-01-30 — KEEP
[2025-09-02 15:20:51] r=97 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=20.0; currency=USD; date=2015-01-30 — KEEP
[2025-09-02 15:20:51] r=98 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=15.0; currency=USD; date=2015-01-31 — KEEP
[2025-09-02 15:20:51] r=99 → type_raw='Red' | label=Deposit (defaulted; no _tx_label match for 'red' → default to 'Deposit'); status_raw='' → norm='auto'; amount=700.0; currency=USD; date=2015-02-01 — KEEP
[2025-09-02 15:20:51] r=100 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=842.97; currency=EUR; date=2015-02-01 — KEEP
[2025-09-02 15:20:51] r=101 → type_raw='Red' | label=Deposit (defaulted; no _tx_label match for 'red' → default to 'Deposit'); status_raw='' → norm='auto'; amount=23.73; currency=USD; date=2015-02-01 — KEEP
[2025-09-02 15:20:51] r=102 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=28.5; currency=EUR; date=2015-02-01 — KEEP
[2025-09-02 15:20:51] r=103 → type_raw='Red' | label=Deposit (defaulted; no _tx_label match for 'red' → default to 'Deposit'); status_raw='' → norm='auto'; amount=50.0; currency=USD; date=2015-02-01 — KEEP
[2025-09-02 15:20:51] r=104 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=60.03; currency=EUR; date=2015-02-01 — KEEP
[2025-09-02 15:20:51] r=105 → type_raw='Red' | label=Deposit (defaulted; no _tx_label match for 'red' → default to 'Deposit'); status_raw='' → norm='auto'; amount=46.0; currency=USD; date=2015-02-01 — KEEP
[2025-09-02 15:20:51] r=106 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=55.21; currency=EUR; date=2015-02-01 — KEEP
[2025-09-02 15:20:51] r=107 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=20.0; currency=USD; date=2015-02-01 — KEEP
[2025-09-02 15:20:51] r=108 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=20.0; currency=USD; date=2015-02-01 — KEEP
[2025-09-02 15:20:51] r=109 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=25.0; currency=USD; date=2015-02-02 — KEEP
[2025-09-02 15:20:51] r=110 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=25.0; currency=USD; date=2015-02-02 — KEEP
[2025-09-02 15:20:51] r=111 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=15.0; currency=USD; date=2015-02-02 — KEEP
[2025-09-02 15:20:51] r=112 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=15.0; currency=USD; date=2015-02-02 — KEEP
[2025-09-02 15:20:51] r=113 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=20.0; currency=USD; date=2015-02-04 — KEEP
[2025-09-02 15:20:51] r=114 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=25.0; currency=USD; date=2015-02-13 — KEEP
[2025-09-02 15:20:51] r=115 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=25.0; currency=USD; date=2015-02-13 — KEEP
[2025-09-02 15:20:51] r=116 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=35.0; currency=USD; date=2015-02-13 — KEEP
[2025-09-02 15:20:51] r=117 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=10.0; currency=USD; date=2015-02-13 — KEEP
