[2025-08-20 14:18:02] ⚠️ No files selected.
[2025-08-20 14:18:17] 📎 Added file from Deal 40153: TA_Pokerstars.xlsx
[2025-08-20 14:18:25] 📄 Processing TA_Pokerstars.xlsx...
[2025-08-20 14:18:25] 🧾 Detected TA file — using deposit/cashout logic.
[2025-08-20 14:18:25] Detected single combined transaction sheet. Attempting auto-detection...
[2025-08-20 14:18:25] ✅ Detected normal tabular structure. No CSV conversion needed.
[2025-08-20 14:18:25] 📋 Raw headers: ["Credit Status Report for 'muis21'  (Filtered)", 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']
[2025-08-20 14:18:25] 🔍 Normalized headers: ["creditstatusreportfor'muis21'(filtered)", 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none']
[2025-08-20 14:18:25] ⚠️ Header check failed: Missing date or amount — fallback mode. Using fallback mode (Column 0 = date, Column 1 = signed amount).
[2025-08-20 14:18:26] ⚠️ Row 153: Unparsable date → '9/18/2011 13:15'
[2025-08-20 14:18:26] ⚠️ Row 154: Unparsable date → '9/20/2011 8:49'
[2025-08-20 14:18:26] ⚠️ Row 155: Unparsable date → '9/25/2011 17:26'
[2025-08-20 14:18:26] ⚠️ Row 156: Unparsable date → '9/26/2011 7:41'
[2025-08-20 14:18:26] ⚠️ Row 157: Unparsable date → '9/26/2011 7:43'
[2025-08-20 14:18:26] ⚠️ Row 158: Unparsable date → '10/2/2011 16:23'
[2025-08-20 14:18:26] ⚠️ Row 159: Unparsable date → '10/9/2011 14:15'
[2025-08-20 14:18:26] ⚠️ Row 160: Unparsable date → '10/30/2011 13:25'
[2025-08-20 14:18:26] ⚠️ Row 161: Unparsable date → '11/6/2011 14:43'
[2025-08-20 14:18:26] ⚠️ Row 162: Unparsable date → '11/6/2011 15:21'
[2025-08-20 14:18:26] ⚠️ Row 163: Unparsable date → '11/6/2011 17:20'
[2025-08-20 14:18:26] ⚠️ Row 164: Unparsable date → '11/13/2011 12:45'
[2025-08-20 14:18:26] ⚠️ Row 165: Unparsable date → '11/27/2011 11:07'
[2025-08-20 14:18:26] ⚠️ Row 166: Unparsable date → '11/27/2011 12:30'
[2025-08-20 14:18:26] ⚠️ Row 167: Unparsable date → '11/27/2011 13:29'
[2025-08-20 14:18:26] ⚠️ Row 168: Unparsable date → '11/27/2011 14:56'
[2025-08-20 14:18:26] ⚠️ Row 169: Unparsable date → '12/4/2011 12:40'
[2025-08-20 14:18:26] ⚠️ Row 170: Unparsable date → '12/4/2011 13:43'
[2025-08-20 14:18:26] ⚠️ Row 171: Unparsable date → '12/4/2011 16:36'
[2025-08-20 14:18:26] ⚠️ Row 172: Unparsable date → '12/4/2011 16:48'
[2025-08-20 14:18:26] ⚠️ Row 173: Unparsable date → '12/4/2011 17:04'
[2025-08-20 14:18:26] ⚠️ Row 174: Unparsable date → '12/5/2011 14:53'
[2025-08-20 14:18:26] ⚠️ Row 175: Unparsable date → '12/5/2011 15:55'
[2025-08-20 14:18:26] ⚠️ Row 176: Unparsable date → '12/11/2011 15:38'
[2025-08-20 14:18:26] ⚠️ Row 177: Unparsable date → '12/11/2011 15:50'
[2025-08-20 14:18:26] ⚠️ Row 178: Unparsable date → '12/11/2011 15:52'
[2025-08-20 14:18:26] ⚠️ Row 179: Unparsable date → '12/11/2011 16:59'
[2025-08-20 14:18:26] ⚠️ Row 180: Unparsable date → '12/12/2011 12:34'
[2025-08-20 14:18:26] ⚠️ Row 181: Unparsable date → '12/12/2011 16:56'
[2025-08-20 14:18:26] ⚠️ Row 182: Unparsable date → '12/13/2011 12:57'
[2025-08-20 14:18:26] ⚠️ Row 183: Unparsable date → '12/13/2011 13:06'
[2025-08-20 14:18:26] ⚠️ Row 184: Unparsable date → '12/13/2011 13:30'
[2025-08-20 14:18:26] ⚠️ Row 185: Unparsable date → '12/18/2011 17:39'
